#Delay (ns)	3-1-2	3-1	3-2
-29.751063	0.00000	0.04024	0.09996
-29.670107	0.00000	0.08646	0.04602
-29.589152	0.00000	0.04011	0.09783
-29.508197	0.00000	0.08892	0.04520
-29.427241	0.00000	0.04135	0.09744
-29.346286	0.00000	0.08862	0.04581
-29.265331	0.00000	0.04008	0.09485
-29.184376	0.00000	0.08807	0.04513
-29.103420	0.00000	0.04005	0.09944
-29.022465	0.00000	0.08731	0.04619
-28.941510	0.00000	0.03977	0.09714
-28.860555	0.00000	0.08780	0.04699
-28.779599	0.00000	0.03872	0.09914
-28.698644	0.00000	0.08837	0.04732
-28.617689	0.00000	0.04035	0.09857
-28.536733	0.00000	0.08929	0.04714
-28.455778	0.00000	0.03671	0.10057
-28.374823	0.00000	0.08923	0.04896
-28.293868	0.00000	0.03981	0.10039
-28.212912	0.00000	0.09661	0.04863
-28.131957	0.00000	0.03981	0.10285
-28.051002	0.00000	0.09129	0.04768
-27.970047	0.00000	0.03997	0.10233
-27.889091	0.00000	0.09138	0.04659
-27.808136	0.00000	0.03831	0.10094
-27.727181	0.00000	0.09214	0.04683
-27.646225	0.00000	0.03986	0.10292
-27.565270	0.00000	0.09074	0.04914
-27.484315	0.00000	0.04133	0.10187
-27.403360	0.00000	0.09138	0.04784
-27.322404	0.00000	0.04024	0.10347
-27.241449	0.00000	0.09169	0.04908
-27.160494	0.00000	0.04316	0.10294
-27.079539	0.00000	0.09097	0.04730
-26.998583	0.00000	0.04118	0.10304
-26.917628	0.00000	0.09306	0.04714
-26.836673	0.00000	0.04313	0.10394
-26.755717	0.00000	0.09197	0.04705
-26.674762	0.00000	0.04218	0.10625
-26.593807	0.00000	0.09109	0.05127
-26.512852	0.00000	0.04342	0.11273
-26.431896	0.00000	0.09470	0.05003
-26.350941	0.00000	0.04491	0.11730
-26.269986	0.00000	0.09914	0.05250
-26.189031	0.00000	0.04710	0.12286
-26.108075	0.00000	0.10161	0.05169
-26.027120	0.00000	0.04987	0.12010
-25.946165	0.00000	0.10495	0.05064
-25.865209	0.00000	0.04796	0.11867
-25.784254	0.00000	0.10581	0.05212
-25.703299	0.00000	0.05017	0.11630
-25.622344	0.00000	0.10666	0.05446
-25.541388	0.00000	0.04978	0.11834
-25.460433	0.00000	0.10680	0.05642
-25.379478	0.00000	0.04993	0.12442
-25.298523	0.00000	0.11153	0.05943
-25.217567	0.00000	0.05136	0.14096
-25.136612	0.00000	0.11343	0.07004
-25.055657	0.00000	0.05604	0.16113
-24.974701	0.00000	0.12654	0.08133
-24.893746	0.00000	0.06292	0.18700
-24.812791	0.00000	0.14467	0.09254
-24.731836	0.00000	0.07065	0.20270
-24.650880	0.00000	0.15918	0.09579
-24.569925	0.00000	0.07903	0.19773
-24.488970	0.00000	0.17258	0.09205
-24.408015	0.00000	0.07971	0.17639
-24.327059	0.00000	0.17506	0.07815
-24.246104	0.00000	0.07663	0.14045
-24.165149	0.00000	0.15975	0.05839
-24.084193	0.00000	0.06562	0.10981
-24.003238	0.00000	0.13785	0.04762
-23.922283	0.00000	0.05607	0.09412
-23.841328	0.00000	0.12097	0.04209
-23.760372	0.00000	0.04722	0.08805
-23.679417	0.00000	0.10158	0.04090
-23.598462	0.00000	0.04103	0.08470
-23.517507	0.00000	0.09127	0.03944
-23.436551	0.00000	0.04003	0.08801
-23.355596	0.00000	0.08628	0.03962
-23.274641	0.00000	0.03591	0.08357
-23.193685	0.00000	0.07955	0.03936
-23.112730	0.00000	0.03567	0.08697
-23.031775	0.00000	0.07804	0.03880
-22.950820	0.00000	0.03443	0.08324
-22.869864	0.00000	0.07888	0.03936
-22.788909	0.00000	0.03489	0.08494
-22.707954	0.00000	0.07594	0.03892
-22.626999	0.00000	0.03550	0.08533
