#Delay (Seco0ds) - *0.001lot 0	g(2) - *0.001lot 0
-10.7266	56.103
-10.6456	9.82606
-10.5647	52.9726
-10.4837	6.33189
-10.4028	47.3947
-10.3218	9.53341
-10.2408	44.6583
-10.1599	9.13618
-10.0789	39.4192
-9.99798	11.7724
-9.91702	43.7396
-9.83607	7.86238
-9.75511	34.7212
-9.67416	11.1377
-9.5932	42.8834
-9.51224	12.2825
-9.43129	49.1177
-9.35033	11.7318
-9.26938	46.4446
-9.18842	10.9391
-9.10747	38.2584
-9.02651	7.17693
-8.94556	60.5904
-8.8646	9.79549
-8.78365	42.7886
-8.70269	9.90241
-8.62174	43.0393
-8.54078	12.8916
-8.45983	38.2807
-8.37887	11.949
-8.29792	57.3559
-8.21696	6.28378
-8.136	46.1199
-8.05505	6.99699
-7.97409	48.075
-7.89314	6.77017
-7.81218	34.6774
-7.73123	7.78344
-7.65027	47.8089
-7.56932	6.56019
-7.48836	48.7419
-7.40741	11.933
-7.32645	46.3037
-7.2455	9.58859
-7.16454	43.2989
-7.08359	8.49779
-7.00263	44.7525
-6.92168	10.0892
-6.84072	51.2421
-6.75977	9.98353
-6.67881	47.8534
-6.59785	10.2311
-6.5169	49.4809
-6.43594	4.32937
-6.35499	62.7528
-6.27403	8.6503
-6.19308	55.4288
-6.11212	10.8482
-6.03117	37.0263
-5.95021	9.22858
-5.86926	48.8272
-5.7883	9.23027
-5.70735	40.8445
-5.62639	11.4518
-5.54544	47.0208
-5.46448	6.90869
-5.38353	44.0207
-5.30257	11.5939
-5.22162	35.1189
-5.14066	7.65388
-5.0597	42.8328
-4.97875	8.41783
-4.89779	42.9332
-4.81684	7.96935
-4.73588	54.672
-4.65493	8.23685
-4.57397	41.6835
-4.49302	7.81623
-4.41206	45.7526
-4.33111	11.1316
-4.25015	44.0945
-4.1692	10.8071
-4.08824	50.9096
-4.00729	9.65733
-3.92633	45.4117
-3.84538	8.46265
-3.76442	41.6462
-3.68346	9.38291
-3.60251	46.1922
-3.52155	6.24537
-3.4406	47.052
-3.35964	9.96762
-3.27869	41.4561
-3.19773	7.04728
-3.11678	39.2541
-3.03582	6.84664
-2.95487	38.8518
-2.87391	7.77233
-2.79296	33.6128
-2.712	5.17981
-2.63105	32.7027
-2.55009	5.41807
-2.46914	29.931
-2.38818	5.92671
-2.30723	29.3481
-2.22627	5.55648
-2.14531	17.8644
-2.06436	4.27611
-1.9834	20.8976
-1.90245	3.0099
-1.82149	10.4533
-1.74054	2.73881
-1.65958	8.84364
-1.57863	1.54679
-1.49767	6.56316
-1.41672	1.18299
-1.33576	3.90048
-1.25481	0.862746
-1.17385	2.85866
-1.0929	0.361369
-1.01194	1.45495
-0.930986	0.212263
-0.85003	0.72796
-0.769075	0.132033
-0.68812	0.40203
-0.607165	0.0788959
-0.526209	0.38597
-0.445254	0.0822172
-0.364299	0.46987
-0.283343	0.0784274
-0.202388	0.602477
-0.121433	0.1635
-0.0404776	1.3694
0.0404776	0.353718
0.121433	3.47626
0.202388	0.92044
0.283343	8.06454
0.364299	2.0811
0.445254	10.739
0.526209	3.26989
0.607165	14.9511
0.68812	4.62056
0.769075	30.6124
0.85003	6.107
0.930986	35.1278
1.01194	7.08176
1.0929	38.8981
1.17385	7.18699
1.25481	36.7984
1.33576	7.41
1.41672	40.5441
1.49767	7.49264
1.57863	38.3577
1.65958	12.2338
1.74054	39.268
1.82149	11.1504
1.90245	48.059
1.9834	9.72172
2.06436	57.0499
2.14531	8.40092
2.22627	47.5216
2.30723	7.31587
2.38818	47.3396
2.46914	11.353
2.55009	46.1797
2.63105	10.1723
2.712	40.4002
2.79296	10.6924
2.87391	43.9805
2.95487	11.0157
3.03582	39.5493
3.11678	8.06208
3.19773	38.7016
3.27869	7.85222
3.35964	46.5062
3.4406	8.382
3.52155	54.2258
3.60251	9.27004
3.68346	48.3039
3.76442	6.41456
3.84538	51.68
3.92633	11.4174
4.00729	55.1453
4.08824	9.70729
4.1692	62.9131
4.25015	9.75533
4.33111	42.1225
4.41206	8.38264
4.49302	57.3325
4.57397	9.54553
4.65493	51.6593
4.73588	10.9195
4.81684	51.0557
4.89779	8.80602
4.97875	39.106
5.0597	7.60183
5.14066	48.8516
5.22162	7.59922
5.30257	53.3913
5.38353	8.76771
5.46448	44.5544
5.54544	15.504
5.62639	50.7049
5.70735	12.7095
5.7883	42.965
5.86926	8.84
5.95021	38.9699
6.03117	7.87593
6.11212	42.9149
6.19308	7.60052
6.27403	47.8107
6.35499	8.18305
6.43594	40.7409
6.5169	8.04745
6.59785	35.6335
6.67881	8.99465
6.75977	51.1019
6.84072	10.6491
6.92168	40.5167
7.00263	9.03665
7.08359	49.7751
7.16454	10.9732
7.2455	44.8569
7.32645	10.5396
7.40741	42.1286
7.48836	12.579
7.56932	53.6298
7.65027	9.96022
7.73123	57.5436
7.81218	7.23397
7.89314	49.2905
7.97409	12.9801
8.05505	50.9477
8.136	9.64022
8.21696	38.5819
8.29792	9.85929
8.37887	44.1902
8.45983	12.5382
8.54078	42.8662
8.62174	11.3651
8.70269	47.9886
8.78365	9.24237
8.8646	51.1878
8.94556	11.9615
9.02651	45.1296
9.10747	11.7867
9.18842	49.7084
9.26938	9.29306
9.35033	47.5546
9.43129	9.53716
9.51224	39.3349
9.5932	9.80107
9.67416	40.2194
9.75511	7.0658
9.83607	36.1425
9.91702	15.0359
9.99798	61.5962
10.0789	11.442
10.1599	52.2116
10.2408	11.5033
10.3218	45.579
10.4028	12.0013
10.4837	45.0802
10.5647	14.1249
10.6456	50.188
10.7266	7.04851
10.8075	52.5192
10.8885	9.45912
10.9694	43.4792
11.0504	9.4234
11.1313	42.6716
11.2123	6.80556
11.2933	49.0141
11.3742	11.3152
11.4552	56.6612
11.5361	6.21435
11.6171	43.3285
11.698	7.50787
11.779	37.9186
11.8599	8.57231
11.9409	57.1352
12.0219	9.79465
12.1028	48.0249
12.1838	9.50219
12.2647	41.3787
12.3457	8.91035
12.4266	45.6641
12.5076	8.21787
12.5885	55.9447
12.6695	9.59941
12.7505	48.7022
12.8314	11.9524
12.9124	47.802
12.9933	10.1282
13.0743	47.1651
13.1552	10.7872
13.2362	58.3739
13.3171	10.5728
13.3981	47.7502
13.4791	7.855
13.56	45.842
13.641	8.74792
13.7219	54.5804
13.8029	9.49225
13.8838	47.6166
13.9648	8.52529
14.0457	45.3704
14.1267	10.4341
14.2077	50.4453
14.2886	10.1923
14.3696	47.5432
14.4505	16.5756
14.5315	57.8473
14.6124	9.09152
14.6934	57.3025
14.7743	9.80618
14.8553	43.8157
14.9362	9.38627
15.0172	45.333
15.0982	9.38291
15.1791	55.3427
15.2601	13.6305
15.341	46.7346
15.422	9.49059
15.5029	50.314
15.5839	8.99465
15.6648	53.4162
15.7458	11.4214
15.8268	48.4142
15.9077	10.1812
15.9887	50.676
16.0696	9.89213
16.1506	35.9113
16.2315	15.0092
16.3125	47.4781
16.3934	9.47737
16.4744	56.981
16.5554	7.77375
16.6363	42.8049
16.7173	7.74794
16.7982	43.1292
16.8792	11.7388
16.9601	52.5788
17.0411	7.855
17.122	47.7649
17.203	13.2234
17.284	45.6315
17.3649	11.7017
17.4459	63.506
17.5268	9.45145
17.6078	43.1841
17.6887	10.5359
17.7697	48.7884
17.8506	13.3969
17.9316	37.8103
18.0125	10.621
18.0935	40.4133
18.1745	10.4829
18.2554	44.5377
18.3364	7.58801
18.4173	45.6344
18.4983	12.597
18.5792	46.1968
18.6602	13.9668
18.7411	50.5345
18.8221	9.79087
18.9031	41.2082
18.984	9.52215
19.065	51.0448
19.1459	9.163
19.2269	50.926
19.3078	9.69643
19.3888	41.5571
19.4697	9.54202
19.5507	43.6395
19.6317	7.24506
19.7126	34.4355
19.7936	6.52116
19.8745	32.8543
19.9555	6.45931
20.0364	21.479
20.1174	4.52732
20.1983	27.2497
20.2793	4.8596
20.3603	29.5907
20.4412	6.25585
20.5222	36.2106
20.6031	8.19446
20.6841	45.9705
20.765	7.35226
20.846	43.4634
20.9269	13.4015
21.0079	46.4827
21.0888	14.4217
21.1698	35.6931
21.2508	10.7117
21.3317	43.431
21.4127	10.5987
21.4936	46.5929
21.5746	9.46748
21.6555	34.3999
21.7365	8.01331
21.8174	41.6562
21.8984	10.2519
21.9794	41.7276
22.0603	9.44447
22.1413	58.7688
22.2222	15.1001
22.3032	45.1236
22.3841	10.1511
22.4651	48.2622
22.546	12.0917
22.627	44.5878
22.708	10.929
22.7889	52.6983
22.8699	5.87313
22.9508	41.5724
23.0318	12.0287
23.1127	46.1746
23.1937	7.36359
23.2746	46.2823
23.3556	9.15826
23.4366	57.7844
23.5175	4.62194
23.5985	46.6974
23.6794	12.4152
23.7604	50.786
23.8413	13.7566
23.9223	42.1468
24.0032	10.369
24.0842	48.2759
24.1651	10.2275
