Parameter,Value,Error
Peak,2780.5509786554376,143.52320630648381
Centre,1.5528377196421643,0.023565659981259313
Sigma,0.3953574842364031,0.023565694170287567
FWHM,0.9309957288328896,0.05549296900726215
