#Delay (Seco0ds) - *0.001lot 0	g(2) - *0.001lot 0
-23.6794	0
-23.5985	0
-23.5175	0
-23.4366	0
-23.3556	0
-23.2746	0
-23.1937	0
-23.1127	0
-23.0318	0
-22.9508	0
-22.8699	0
-22.7889	0
-22.708	0
-22.627	0
-22.546	0
-22.4651	0
-22.3841	0
-22.3032	0
-22.2222	0
-22.1413	0
-22.0603	0
-21.9794	0
-21.8984	0
-21.8174	0
-21.7365	0
-21.6555	0
-21.5746	0
-21.4936	0
-21.4127	0
-21.3317	0
-21.2508	0
-21.1698	0
-21.0888	0
-21.0079	0
-20.9269	0
-20.846	0
-20.765	0
-20.6841	0
-20.6031	0
-20.5222	0
-20.4412	0
-20.3603	0
-20.2793	0
-20.1983	0
-20.1174	0
-20.0364	0
-19.9555	0
-19.8745	0
-19.7936	0
-19.7126	0
-19.6317	0
-19.5507	0
-19.4697	0
-19.3888	0
-19.3078	0
-19.2269	0
-19.1459	0
-19.065	0
-18.984	0
-18.9031	0
-18.8221	0
-18.7411	0
-18.6602	0
-18.5792	0
-18.4983	0
-18.4173	0
-18.3364	0
-18.2554	0
-18.1745	0
-18.0935	0
-18.0125	0
-17.9316	0
-17.8506	1.69285
-17.7697	0.85742
-17.6887	1.72583
-17.6078	0.774976
-17.5268	1.67087
-17.4459	0.818946
-17.3649	1.59392
-17.284	0.785968
-17.203	1.68186
-17.122	0.840931
-17.0411	1.75331
-16.9601	0.780472
-16.8792	1.64888
-16.7982	0.802457
-16.7173	1.83576
-16.6363	0.758487
-16.5554	1.4785
-16.4744	0.763983
-16.3934	1.61041
-16.3125	0.75299
-16.2315	1.60491
-16.1506	0.895894
-16.0696	1.68736
-15.9887	0.714517
-15.9077	1.83026
-15.8268	0.934368
-15.7458	1.75881
-15.6648	0.840931
-15.5839	1.60491
-15.5029	0.796961
-15.422	1.94019
-15.341	0.66505
-15.2601	1.57743
-15.1791	0.884901
-15.0982	1.7753
-15.0172	0.698028
-14.9362	1.84125
-14.8553	0.714517
-14.7743	1.71484
-14.6934	0.917879
-14.6124	1.75331
-14.5315	0.774976
-14.4505	1.78629
-14.3696	0.720013
-14.2886	1.65988
-14.2077	0.763983
-14.1267	1.76431
-14.0457	0.736502
-13.9648	1.80828
-13.8838	0.741998
-13.8029	1.68736
-13.7219	0.824442
-13.641	1.75331
-13.56	0.796961
-13.4791	1.79179
-13.3981	0.802457
-13.3171	1.66537
-13.2362	0.824442
-13.1552	1.7808
-13.0743	0.791464
-12.9933	1.73133
-12.9124	0.90139
-12.8314	1.70934
-12.7505	0.785968
-12.6695	1.67637
-12.5885	0.714517
-12.5076	1.67637
-12.4266	0.868412
-12.3457	1.7698
-12.2647	0.835435
-12.1838	1.6324
-12.1028	0.758487
-12.0219	1.65438
-11.9409	0.917879
-11.8599	1.61591
-11.779	0.818946
-11.698	1.58843
-11.6171	0.758487
-11.5361	1.67637
-11.4552	0.626576
-11.3742	1.86324
-11.2933	0.829938
-11.2123	1.61041
-11.1313	0.774976
-11.0504	1.70934
-10.9694	0.747494
-10.8885	1.72034
-10.8075	0.725509
-10.7266	1.74782
-10.6456	0.725509
-10.5647	1.64888
-10.4837	0.741998
-10.4028	1.72034
-10.3218	0.763983
-10.2408	1.7808
-10.1599	0.824442
-10.0789	1.55545
-9.99798	0.741998
-9.91702	1.67637
-9.83607	0.862916
-9.75511	1.75331
-9.67416	0.851924
-9.5932	1.64888
-9.51224	0.835435
-9.43129	1.68736
-9.35033	0.747494
-9.26938	1.67087
-9.18842	0.637569
-9.10747	1.78629
-9.02651	0.763983
-8.94556	1.84125
-8.8646	0.840931
-8.78365	1.68186
-8.70269	0.868412
-8.62174	1.81927
-8.54078	0.736502
-8.45983	1.58843
-8.37887	0.912383
-8.29792	1.59392
-8.21696	0.70902
-8.136	1.67087
-8.05505	0.912383
-7.97409	1.69285
-7.89314	0.824442
-7.81218	1.79728
-7.73123	0.824442
-7.65027	1.76431
-7.56932	0.758487
-7.48836	1.61591
-7.40741	0.676043
-7.32645	1.6214
-7.2455	0.780472
-7.16454	1.71484
-7.08359	0.725509
-7.00263	1.70385
-6.92168	0.714517
-6.84072	1.80278
-6.75977	0.725509
-6.67881	1.87423
-6.59785	0.720013
-6.5169	1.70385
-6.43594	0.758487
-6.35499	1.99515
-6.27403	0.659554
-6.19308	1.83026
-6.11212	0.66505
-6.03117	1.79179
-5.95021	0.780472
-5.86926	1.75331
-5.7883	0.807953
-5.70735	1.68186
-5.62639	0.851924
-5.54544	1.68736
-5.46448	0.758487
-5.38353	1.79728
-5.30257	0.807953
-5.22162	1.68736
-5.14066	0.731005
-5.0597	1.7753
-4.97875	0.725509
-4.89779	1.70385
-4.81684	0.81345
-4.73588	1.59942
-4.65493	0.81345
-4.57397	1.69835
-4.49302	0.802457
-4.41206	1.57194
-4.33111	0.802457
-4.25015	1.64888
-4.1692	0.659554
-4.08824	1.7698
-4.00729	0.763983
-3.92633	1.6269
-3.84538	0.791464
-3.76442	1.67637
-3.68346	0.802457
-3.60251	1.78629
-3.52155	0.731005
-3.4406	1.66537
-3.35964	0.796961
-3.27869	1.69835
-3.19773	0.763983
-3.11678	1.68736
-3.03582	0.654057
-2.95487	1.72034
-2.87391	0.835435
-2.79296	1.87973
-2.712	0.763983
-2.63105	1.83576
-2.55009	0.75299
-2.46914	1.78629
-2.38818	0.731005
-2.30723	1.81377
-2.22627	0.659554
-2.14531	1.59392
-2.06436	0.66505
-1.9834	1.69285
-1.90245	0.747494
-1.82149	1.81377
-1.74054	0.720013
-1.65958	1.75881
-1.57863	0.769479
-1.49767	1.65988
-1.41672	0.824442
-1.33576	1.71484
-1.25481	0.714517
-1.17385	1.76431
-1.0929	0.758487
-1.01194	1.87423
-0.930986	0.895894
-0.85003	1.80828
-0.769075	0.774976
-0.68812	1.73682
-0.607165	0.769479
-0.526209	1.67087
-0.445254	0.763983
-0.364299	1.68186
-0.283343	0.780472
-0.202388	1.45651
-0.121433	0.747494
-0.0404776	1.71484
0.0404776	0.643065
0.121433	1.50048
0.202388	0.75299
0.283343	1.7698
0.364299	0.736502
0.445254	1.6214
0.526209	0.85742
0.607165	1.74232
0.68812	0.681539
0.769075	1.98416
0.85003	0.741998
0.930986	1.79728
1.01194	0.774976
1.0929	1.75881
1.17385	0.780472
1.25481	1.58293
1.33576	0.950857
1.41672	1.70385
1.49767	0.807953
1.57863	1.69285
1.65958	0.90139
1.74054	1.63789
1.82149	0.769479
1.90245	1.7753
1.9834	0.873909
2.06436	1.88522
2.14531	0.796961
2.22627	1.66537
2.30723	0.824442
2.38818	1.75881
2.46914	0.703524
2.55009	1.6214
2.63105	0.747494
2.712	1.73682
2.79296	0.763983
2.87391	1.6214
2.95487	0.846427
3.03582	1.64888
3.11678	0.75299
3.19773	1.76431
3.27869	0.780472
3.35964	1.79728
3.4406	0.676043
3.52155	1.68186
3.60251	0.769479
3.68346	1.7698
3.76442	0.741998
3.84538	1.54445
3.92633	0.818946
4.00729	1.64339
4.08824	0.780472
4.1692	1.60491
4.25015	0.763983
4.33111	1.69835
4.41206	0.720013
4.49302	1.74782
4.57397	0.868412
4.65493	1.72034
4.73588	0.731005
4.81684	1.73682
4.89779	0.747494
4.97875	1.7698
5.0597	0.741998
5.14066	1.75881
5.22162	0.75299
5.30257	1.51697
5.38353	0.868412
5.46448	1.69285
5.54544	0.917879
5.62639	1.6269
5.70735	0.720013
5.7883	1.6269
5.86926	0.70902
5.95021	1.73133
6.03117	0.741998
6.11212	1.89072
6.19308	0.763983
6.27403	1.75331
6.35499	0.791464
6.43594	1.79179
6.5169	0.643065
6.59785	1.90721
6.67881	0.785968
6.75977	1.94568
6.84072	0.780472
6.92168	1.75331
7.00263	0.703524
7.08359	1.58293
7.16454	0.714517
7.2455	1.6324
7.32645	0.70902
7.40741	1.74232
7.48836	0.725509
7.56932	1.78629
7.65027	0.791464
7.73123	1.74782
7.81218	0.763983
7.89314	1.94019
7.97409	0.741998
8.05505	1.71484
8.136	0.851924
8.21696	1.81377
8.29792	0.835435
8.37887	1.89072
8.45983	0.90139
8.54078	1.79179
8.62174	0.807953
8.70269	1.79728
8.78365	0.758487
8.8646	1.58843
8.94556	0.714517
9.02651	1.66537
9.10747	0.835435
9.18842	1.69285
9.26938	0.714517
9.35033	1.70385
9.43129	0.70902
9.51224	1.7698
9.5932	0.774976
9.67416	1.44552
9.75511	0.714517
9.83607	1.74782
9.91702	0.692531
9.99798	1.72034
10.0789	0.747494
10.1599	1.69835
10.2408	0.774976
10.3218	1.65438
10.4028	0.780472
10.4837	1.58843
10.5647	0.70902
10.6456	1.83576
10.7266	0.70902
10.8075	1.7753
10.8885	0.681539
10.9694	1.86324
11.0504	0.698028
11.1313	1.80828
11.2123	0.736502
11.2933	1.68736
11.3742	0.769479
11.4552	1.64888
11.5361	0.747494
11.6171	1.72583
11.698	0.769479
11.779	1.65438
11.8599	0.890398
11.9409	1.63789
12.0219	0.769479
12.1028	1.65988
12.1838	0.796961
12.2647	1.65438
12.3457	0.659554
12.4266	1.72034
12.5076	0.731005
12.5885	1.83576
12.6695	0.840931
12.7505	1.67087
12.8314	0.75299
12.9124	1.80828
12.9933	0.780472
13.0743	1.79179
13.1552	0.868412
13.2362	1.73682
13.3171	0.741998
13.3981	1.67087
13.4791	0.818946
13.56	1.72583
13.641	0.840931
13.7219	1.59392
13.8029	0.758487
13.8838	1.79728
13.9648	0.818946
14.0457	1.73133
14.1267	0.829938
14.2077	1.84675
14.2886	0.747494
14.3696	1.73133
14.4505	0.763983
14.5315	1.72583
14.6124	0.895894
14.6934	1.73133
14.7743	0.736502
14.8553	1.7698
14.9362	0.829938
15.0172	1.80278
15.0982	0.774976
15.1791	1.89072
15.2601	0.725509
15.341	1.97316
15.422	0.747494
15.5029	1.93469
15.5839	0.654057
15.6648	1.74782
15.7458	0.725509
15.8268	1.73133
15.9077	0.796961
15.9887	1.72583
16.0696	0.81345
16.1506	1.67087
16.2315	0.791464
16.3125	1.6324
16.3934	0.736502
16.4744	1.72583
16.5554	0.796961
16.6363	1.75881
16.7173	0.736502
16.7982	1.89622
16.8792	0.846427
16.9601	1.7808
17.0411	0.75299
17.122	1.88522
17.203	0.846427
17.284	1.79179
17.3649	0.796961
17.4459	1.70385
17.5268	0.868412
17.6078	1.75881
17.6887	0.923375
17.7697	1.69285
17.8506	0.785968
17.9316	1.71484
18.0125	0.818946
18.0935	1.76431
18.1745	0.796961
18.2554	1.56644
18.3364	0.692531
18.4173	1.67637
18.4983	0.720013
18.5792	1.74782
18.6602	0.763983
18.7411	1.70934
18.8221	0.741998
18.9031	1.78629
18.984	0.818946
19.065	1.68186
19.1459	0.681539
19.2269	1.74232
19.3078	0.70902
19.3888	1.75331
19.4697	0.802457
19.5507	1.84125
19.6317	0.780472
19.7126	1.6324
19.7936	0.70902
19.8745	1.73682
19.9555	0.741998
20.0364	1.65988
20.1174	0.703524
20.1983	1.58843
20.2793	0.615583
20.3603	1.74232
20.4412	0.747494
20.5222	1.75331
20.6031	0.851924
20.6841	1.80828
20.765	0.70902
20.846	1.79728
20.9269	0.714517
21.0079	1.73682
21.0888	0.725509
21.1698	1.88522
21.2508	0.862916
21.3317	1.79179
21.4127	0.610087
21.4936	1.72034
21.5746	0.85742
21.6555	1.80278
21.7365	0.774976
21.8174	1.7808
21.8984	0.81345
21.9794	1.64339
22.0603	0.796961
22.1413	1.64339
22.2222	0.840931
22.3032	1.65988
22.3841	0.741998
22.4651	1.67637
22.546	0.741998
22.627	1.58843
22.708	0.818946
22.7889	1.65988
22.8699	0.75299
22.9508	1.52797
23.0318	0.731005
23.1127	1.67087
23.1937	0.736502
23.2746	1.79179
23.3556	0.736502
23.4366	1.55545
23.5175	0.780472
23.5985	1.7808
23.6794	0.824442
23.7604	1.64339
23.8413	0.676043
23.9223	1.61591
24.0032	0.643065
24.0842	1.90721
24.1651	0.873909
24.2461	1.88522
24.3271	0.731005
24.408	1.83576
24.489	0.769479
24.5699	1.9237
24.6509	0.687035
24.7318	1.85225
24.8128	0.763983
24.8937	1.70934
24.9747	0.791464
25.0557	1.91271
25.1366	0.714517
25.2176	1.63789
25.2985	0.939864
25.3795	1.89622
25.4604	0.862916
25.5414	1.68736
25.6223	0.780472
25.7033	1.83026
25.7843	0.829938
25.8652	1.75881
25.9462	0.928871
26.0271	1.79728
26.1081	0.846427
26.189	1.83026
26.27	0.791464
26.3509	1.61591
26.4319	0.687035
26.5129	1.61041
26.5938	0.879405
26.6748	1.65988
26.7557	0.75299
26.8367	1.9182
26.9176	0.714517
26.9986	1.7808
27.0795	0.934368
27.1605	1.72583
27.2414	0.75299
27.3224	1.79179
27.4034	0.681539
27.4843	1.68736
27.5653	0.851924
27.6462	1.64888
27.7272	0.698028
27.8081	1.84125
27.8891	0.769479
27.97	1.67637
28.051	0.725509
28.132	1.80278
28.2129	0.70902
28.2939	1.69285
28.3748	0.610087
28.4558	1.54995
28.5367	0.654057
28.6177	1.86324
28.6986	0.780472
28.7796	1.66537
28.8606	0.736502
28.9415	1.68736
29.0225	0.741998
29.1034	1.56644
29.1844	0.796961
29.2653	1.71484
29.3463	0.703524
29.4272	1.69835
29.5082	0.692531
29.5892	1.6269
29.6701	0.687035
29.7511	1.68736
29.832	0.763983
29.913	1.70385
29.9939	0.736502
30.0749	1.50048
30.1558	0.741998
30.2368	1.70934
30.3177	0.785968
30.3987	1.58293
30.4797	0.851924
30.5606	1.72583
30.6416	0.835435
30.7225	1.73682
30.8035	0.75299
30.8844	1.73133
30.9654	0.807953
31.0463	1.6324
31.1273	0.879405
31.2083	1.79728
31.2892	0.81345
31.3702	1.70385
31.4511	0.75299
31.5321	1.72034
31.613	0.698028
31.694	1.84675
31.7749	0.835435
31.8559	1.75881
31.9369	0.75299
32.0178	1.72034
32.0988	0.698028
32.1797	1.65988
32.2607	0.75299
32.3416	1.65988
32.4226	0.780472
32.5035	1.78629
32.5845	0.741998
32.6655	1.80828
32.7464	0.791464
32.8274	1.66537
32.9083	0.725509
32.9893	1.80828
33.0702	0.70902
33.1512	1.79728
33.2321	0.659554
33.3131	1.50598
33.394	0.731005
33.475	1.59392
33.556	0.687035
33.6369	1.65438
33.7179	0.698028
33.7988	1.6269
33.8798	0.741998
33.9607	1.74782
34.0417	0.829938
34.1226	1.56094
34.2036	0.725509
34.2846	1.59942
34.3655	0.818946
34.4465	1.57743
34.5274	0.593598
34.6084	1.75881
34.6893	0.862916
34.7703	1.53346
34.8512	0.703524
34.9322	1.65438
35.0132	0.769479
35.0941	1.68736
35.1751	0.692531
35.256	1.74782
35.337	0.736502
35.4179	1.7698
35.4989	0.75299
35.5798	1.81377
35.6608	0.791464
35.7418	1.75331
35.8227	0.769479
35.9037	1.67087
35.9846	0.917879
36.0656	1.68736
36.1465	0.835435
36.2275	1.68736
36.3084	0.75299
36.3894	1.55545
36.4704	0.840931
36.5513	1.70934
36.6323	0.90139
36.7132	1.66537
36.7942	0.720013
36.8751	1.91271
36.9561	0.824442
37.037	2.08309
37.118	0.807953
37.1989	1.94019
37.2799	0.659554
37.3609	1.90721
37.4418	0.75299
37.5228	1.61041
37.6037	0.780472
37.6847	1.80828
37.7656	0.731005
37.8466	1.72583
37.9275	0.785968
38.0085	1.67637
38.0895	0.824442
38.1704	1.81927
38.2514	0.758487
38.3323	1.69285
38.4133	0.873909
38.4942	1.84125
38.5752	0.785968
38.6561	1.74782
38.7371	0.829938
38.8181	1.81927
38.899	0.720013
38.98	1.86324
39.0609	0.868412
39.1419	1.84125
39.2228	0.774976
39.3038	1.86324
39.3847	0.796961
39.4657	1.70385
39.5467	0.824442
39.6276	1.64888
39.7086	0.66505
39.7895	1.63789
39.8705	0.75299
39.9514	1.72583
40.0324	0.791464
40.1133	1.65988
40.1943	0.923375
40.2752	1.76431
40.3562	0.610087
40.4372	2.53928
